ROL;NOMBRE;DIRECCI”N;GIRO;TIO PAPENTE
21503;PRODUCCIONES E INVER.† BAHIA SUR LIMITADA;PLAYA GRANDE DE PUCON S/N;FUENTE DE SODA† - CAFETERIA - SNACK SERVICIOS HIGIENICOS;ALCOHOLES
40001;SUCESION AGUILA LUIS ALFREDO;FRESIA 477;RESTAURANTE DIURNO ( PATENTE DADA EN ARRIENDO A SR. FRANZ VIKTOR KRAEMER GIULIANO RUT 13.255.613-K );ALCOHOLES
40004;CARRASCO CARRASCO HERTA;CAMINO PUCON- CABURGUA S/N;EXPENDIDO DE CERVEZAS Y SIDRAS;ALCOHOLES
40007;SUPERMERCADOS ELTIT LIMITADA;AVDA. BERNARDO OHIGGINS 336;SUPERMERCADO BEB. ALCOHOLICAS;ALCOHOLES
40008;CONTRERAS HEREDIA MARISOL DEL CARMEN;AVDA. BERNARDO OHIGGINS 255 2∫ NIVEL;RESTAURANT† NOCTURNO;ALCOHOLES
40009;FONSECA FERNADEZ NELSON;LINCOYAN† 323;RESIDENCIAL;ALCOHOLES
40010;GALDAMES SAN MARTIN HILDA GUADALUPE;CALLEJON FLORES 341;MINIMERCADO DE BEBIDAS ALCOHOLICAS;ALCOHOLES
40014;ZUNILDA BADILLA HERRERA;PEDRO DE VALDIVIA 12;HOTEL;ALCOHOLES
40016;LAFQUEN GONZALEZ GLADYS;MIGUEL ANSORENA† 285;DEPOSITO DE BEB. ALCOHOLICAS.;ALCOHOLES
40017;LAFQUEN GONZALEZ GLADYS;MIGUEL ANSORENA† 285;EXPENDIO DE CERVEZA O SIDRAS;ALCOHOLES
40022;FONSECA CARRASCO LEONEL;CAMINO PUCON- CABURGUA KM 18;DEPOSITO DE BEBIDAS ALCOHOLICAS;ALCOHOLES
40024;HOTELERA PLAZA PUCON LIMITADA;PEDRO DE VALDIVIA 191;HOTEL;ALCOHOLES
40028;NICOLAS ANDRE CERDA GAY;BRASIL† 440 LOCAL B;DEPOSITO DE BEBIDAS ALCOHOLICAS;ALCOHOLES
40031;PALACIOS AVILES LAURA;ARAUCO 336;RESTAURANTE DIURNO (SIN BAILE O ESPECTACULOS);ALCOHOLES
40032;ROBLES ROBLES DAGOBERTO;LUGAR LLAFENCO S/N;EXPENDIO DE CERVEZA O SIDRAS;ALCOHOLES
40039;SOCIEDAD INMOBILIARIA E INVERSIONES RAYEN LIMITADA;CAUPOLICAN† 243;HOTEL;ALCOHOLES
40045;ANGELICA VANESA LAGOS NORAMBUENA;PALGUIN 323;EXPENDIDO DE CERVEZAS Y SIDRAS(PATENTE DADA EN ARRIENDO A COMERCIALIZADORA DE EVENTOS C Y R LTDA.);ALCOHOLES
40048;BRNCIC Y OYARZO LTDA.;GENERAL URRUTIA† 635;RESTAURANTE NOCTURNO;ALCOHOLES
40051;EGIDIO RAFAEL OYARCE JUANICO;GENERAL URRUTIA† 407;RESTAURANTE DIURNA (SIN BAILE O ESPECTACULOS);ALCOHOLES
40052;COMERCIAL SUIZA LIMITADA;AVDA. BERNARDO OHIGGINS 116;RESTAURANTE (SIN BAILE O ESPECTACULOS);ALCOHOLES
40055;CANALES NAVARRO PROSPERO;LINCOYAN† 348;RESTAURANTE DIURNO (PATENTE DADA EN ARRIENDO A OUTSIDERS S.P.A. RUT 76.271.236-9);ALCOHOLES
40056;JIMENEZ DIAZ ALEJANDRO;AVDA. BERNARDO OHIGGINS 480;RESTAURANTE DIURNO (SIN BAILE O ESPECTACULOS);ALCOHOLES
40058;SUPERMERCADOS ELTIT LIMITADA;AVDA. BERNARDO OHIGGINS 672;DEPOSITO DE BEBIDAS ALCOHOLICAS;ALCOHOLES
40059;GARRIDO MOSCOSO† JOSE;PASAJE LAS ROSAS 175 - B;PUB†† BAR†† CANTINA†† TABERNA;ALCOHOLES
40061;SALDA—A CASTILLO IRMA;AVDA. BERNARDO OHIGGINS 761;CANTINA (MEF);ALCOHOLES
40065;PALACIOS AVILES LAURA;ARAUCO 336;EXPENDIDO DE CERVEZAS Y SIDRA;ALCOHOLES
40071;KRAUSE† CHAVEZ AUDITO;VILLA SAN PEDRO S/N;MINIMERCADO BEB. ALCOHOLICAS;ALCOHOLES
40073;CARRASCO CARRASCO HERTA;CAMINO PUCON- CABURGUA S/N;CANTINA;ALCOHOLES
40075;HECTOR EDUARDO ZU—IGA SANDOVAL;CAMINO INTERNACIONAL 1330;MINIMERCADO BEB. ALCOHOLICAS;ALCOHOLES
40078;SOC. P. EL VOLCAN LTDA.;SEBASTIAN ENGLER† 490;SUPERMERCADO BEB. ALCOHOLICAS;ALCOHOLES
40092;QUINTANA CHAVEZ HERMINDA;GENERAL URRUTIA† 417;RESTAURANTE NOCTURNO (SIN BAILE O ESPECTACULOS);ALCOHOLES
40097;SARAVIA HURTADO ELVIS ALFREDO;COLO COLO S/N;MINI MERCADO DE ALCOHOLES (MEF);ALCOHOLES
40098;COLIPE HERMOSILLA SERGIO;LOS PELLINES† 210 POBL. AD. JORQUE;SUPERMERCADO DE BEB. ALCOHOLICAS;ALCOHOLES
40100;FERNANDEZ CASTRO CARLINA;LA TURBINA S/N;MINIMERCADO BEB. ALCOHOLICAS;ALCOHOLES
40108;VALLEJOS CORDOVA GRICELIDA;ARAUCO 701;MINI MERCADO DE ALCOHOLES;ALCOHOLES
40109;PATAGON MARKET E. I. R. L.;COLO COLO 650;MINIMERCADO BEB. ALCOHOLICAS;ALCOHOLES
40133;BARRA CARVALLO SONIA;FRESIA 554;MINIMERCADO DE BEBIDA ALCOHOLICAS;ALCOHOLES
40138;ECOLE S. A.;GENERAL URRUTIA† 592;HOSTERIA;ALCOHOLES
40140;PAREDES† CARRASCO MARIA;ODETTE VIDAL 1765;MINIMERCADO DE BEBIDAS† ALCOHOLICAS(MEF);ALCOHOLES
40144;MARTINEZ MARTINEZ SANDRA;SECTOR PALGUIN BAJO S/N;MINIMERCADO BEB. ALCOHOLICAS;ALCOHOLES
