Date;Año;Mes;ARG;BRA;ESP;FRA;GER;ITA;;;;;ARG;BRA;ESP;FRA;GER;ITA;;;ARG;BRA;ESP;FRA;GER;ITA;;ARG;BRA;ESP;FRA;GER;ITA
08-08-1993;1993;8;5;8;13;12;1;2;;;1993;1993;8,6;3,4;9,2;12,6;2,8;2;;1993;8,6;3,4;9,2;12,6;2,8;2;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
23-09-1993;1993;9;12;1;14;7;5;2;;;1994;1994;8,7;1,4;5,8;16,6;2,8;6,4;;1994;8,7;1,4;5,8;16,6;2,8;6,4;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
22-10-1993;1993;10;9;1;7;14;4;3;;;1995;1995;7,3;1;3,2;15,5;3,8;3,6;;1995;7,3;1;3,2;15,5;3,8;3,6;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
19-11-1993;1993;11;9;4;7;15;3;1;;;1996;1996;15;1;7,1;4,8;2,1;5,6;;1996;15;1;7,1;4,8;2,1;5,6;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
23-12-1993;1993;12;8;3;5;15;1;2;;;1997;1997;15,9;1;4,5;8,1;2,6;9,6;;1997;15,9;1;4,5;8,1;2,6;9,6;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
15-02-1994;1994;2;9;2;6;14;1;7;;;1998;1998;6,7;1;16;7,5;2,6;10,1;;1998;6,7;1;16;7,5;2,6;10,1;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
15-03-1994;1994;3;8;2;6;15;1;11;;;1999;1999;6,7;1;6,7;2,3;4,7;6,3;;1999;6,7;1;6,7;2,3;4,7;6,3;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
19-04-1994;1994;4;10;1;7;15;2;13;;;2000;2000;4,6;1;4,7;2,4;7,3;9,8;;2000;4,6;1;4,7;2,4;7,3;9,8;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
17-05-1994;1994;5;6;1;9;17;2;16;;;2001;2001;2,8;1,8;6,7;1,3;9,8;4,5;;2001;2,8;1,8;6,7;1,3;9,8;4,5;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
14-06-1994;1994;6;8;3;5;13;1;4;;;2002;2002;3,3;1,7;5,1;1,8;7,5;8,4;;2002;3,3;1,7;5,1;1,8;7,5;8,4;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
