"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 20, 2020","4,735.00","4,700.00","4,735.00","4,700.00","2.21K","0.74%"
"Nov 19, 2020","4,700.00","4,899.00","4,899.00","4,700.00","551.26K","-4.06%"
"Nov 18, 2020","4,899.00","4,751.00","4,899.00","4,751.00","800.65K","3.09%"
"Nov 17, 2020","4,752.00","4,681.00","4,752.00","4,610.30","1.05M","1.54%"
"Nov 16, 2020","4,680.00","4,897.00","4,897.00","4,650.90","648.10K","-1.47%"
"Nov 13, 2020","4,750.00","4,703.00","4,790.00","4,700.00","468.67K","3.15%"
"Nov 12, 2020","4,605.00","4,824.10","4,824.10","4,580.00","821.50K","-4.54%"
"Nov 11, 2020","4,824.10","4,960.00","4,960.10","4,715.00","1.03M","-7.44%"
"Nov 10, 2020","5,212.00","5,199.80","5,294.70","4,942.30","422.74K","0.23%"
"Nov 09, 2020","5,199.80","5,209.50","5,330.00","5,002.00","465.37K","-0.19%"
"Nov 06, 2020","5,209.90","4,850.00","5,209.90","4,787.00","267.43K","7.42%"
"Nov 05, 2020","4,850.00","4,570.00","4,889.90","4,483.10","268.64K","5.90%"
"Nov 04, 2020","4,580.00","4,521.00","4,590.00","4,414.90","360.84K","1.29%"
"Nov 03, 2020","4,521.60","4,438.30","4,599.60","4,405.20","437.87K","1.95%"
"Nov 02, 2020","4,435.10","4,370.00","4,549.00","4,370.00","186.09K","1.75%"
"Oct 30, 2020","4,358.70","4,460.00","4,539.00","4,358.70","347.79K","-2.27%"
"Oct 29, 2020","4,460.00","4,639.90","4,639.90","4,460.00","263.28K","-2.25%"
"Oct 28, 2020","4,562.80","4,699.80","4,699.80","4,551.10","280.35K","-2.92%"
"Oct 27, 2020","4,699.80","4,825.50","4,880.60","4,635.00","252.40K","-2.60%"
"Oct 26, 2020","4,825.50","4,790.20","4,970.00","4,780.00","169.39K","-3.45%"
"Oct 23, 2020","4,998.00","4,870.00","5,000.10","4,870.00","372.57K","2.00%"
"Oct 22, 2020","4,900.00","4,901.00","4,950.00","4,811.10","1.18M","-0.02%"
"Oct 21, 2020","4,901.00","4,750.10","4,949.00","4,750.10","331.03K","3.18%"
"Oct 20, 2020","4,750.00","4,670.00","4,798.00","4,670.00","178.35K","1.71%"
"Oct 19, 2020","4,670.00","4,750.00","4,768.00","4,650.00","257.15K","-1.68%"
"Oct 16, 2020","4,750.00","4,580.00","4,799.00","4,550.00","191.93K","-0.42%"
"Oct 15, 2020","4,770.00","4,485.00","4,780.00","4,355.10","573.82K","6.95%"
"Oct 14, 2020","4,460.00","4,480.10","4,522.00","4,401.00","636.73K","-0.45%"
"Oct 13, 2020","4,480.00","4,630.00","4,630.00","4,410.20","270.44K","-2.18%"
"Oct 09, 2020","4,580.00","4,670.00","4,705.30","4,550.00","90.01K","-1.93%"
"Oct 08, 2020","4,669.90","4,526.00","4,669.90","4,369.90","140.81K","4.19%"
"Oct 07, 2020","4,482.30","4,553.00","4,598.00","4,482.30","129.21K","-2.54%"
"Oct 06, 2020","4,599.00","4,620.00","4,658.90","4,550.00","124.56K","-0.13%"
"Oct 05, 2020","4,605.00","4,800.00","4,800.00","4,605.00","156.40K","-3.19%"
"Oct 02, 2020","4,756.80","4,798.30","4,879.90","4,600.00","165.63K","-1.23%"
"Oct 01, 2020","4,816.00","4,869.00","4,869.00","4,740.00","196.09K","-1.47%"
"Sep 30, 2020","4,888.00","4,720.00","4,888.00","4,585.00","331.27K","7.40%"
"Sep 29, 2020","4,551.00","4,696.00","4,759.00","4,551.00","187.26K","-2.45%"
"Sep 28, 2020","4,665.20","4,841.00","4,890.00","4,665.20","115.27K","-3.81%"
"Sep 25, 2020","4,850.00","4,485.20","4,865.00","4,470.40","288.63K","3.92%"
"Sep 24, 2020","4,667.20","4,500.00","4,667.20","4,450.00","181.05K","4.88%"
"Sep 23, 2020","4,450.00","4,625.00","4,625.00","4,450.00","567.01K","-3.68%"
"Sep 22, 2020","4,620.00","4,709.00","4,709.00","4,556.00","131.11K","-1.89%"
"Sep 21, 2020","4,709.00","4,689.90","4,750.00","4,560.20","141.31K","-1.60%"
"Sep 17, 2020","4,785.40","4,590.00","4,785.40","4,511.00","179.77K","4.05%"
"Sep 16, 2020","4,599.20","4,662.20","4,670.00","4,551.30","321.43K","-1.35%"
"Sep 15, 2020","4,662.20","4,664.00","4,739.90","4,650.00","101.81K","0.05%"
"Sep 14, 2020","4,660.00","4,799.80","4,799.80","4,660.00","212.89K","-1.17%"
"Sep 11, 2020","4,715.00","4,867.90","4,867.90","4,710.10","141.06K","-3.16%"
"Sep 10, 2020","4,869.00","4,915.00","4,922.00","4,762.00","164.81K","-3.37%"
"Sep 09, 2020","5,039.00","4,940.00","5,044.90","4,914.80","264.37K","3.47%"
"Sep 08, 2020","4,870.00","5,000.00","5,000.00","4,860.00","119.84K","-3.33%"
"Sep 07, 2020","5,038.00","4,998.00","5,038.00","4,865.00","53.43K","3.64%"
"Sep 04, 2020","4,861.20","5,048.60","5,048.60","4,861.20","118.06K","-3.64%"
"Sep 03, 2020","5,045.00","5,070.00","5,098.00","4,910.20","303.14K","-0.69%"
"Sep 02, 2020","5,080.00","4,745.00","5,080.00","4,706.30","652.66K","7.06%"
"Sep 01, 2020","4,745.00","4,750.00","4,778.00","4,701.00","339.21K","0.82%"
"Aug 31, 2020","4,706.40","4,920.00","4,920.00","4,706.40","939.72K","-4.05%"
"Aug 28, 2020","4,905.00","5,000.00","5,080.00","4,905.00","303.70K","-0.89%"
"Aug 27, 2020","4,948.90","4,800.00","4,949.80","4,770.00","151.22K","3.23%"
"Aug 26, 2020","4,794.00","4,910.20","4,910.30","4,755.00","181.08K","-2.32%"
"Aug 25, 2020","4,908.00","5,032.00","5,032.00","4,852.20","196.38K","-2.46%"
"Aug 24, 2020","5,032.00","5,151.00","5,194.90","5,015.10","124.07K","-1.33%"
"Aug 21, 2020","5,100.00","5,151.10","5,235.10","5,100.00","103.64K","-0.97%"
"Aug 20, 2020","5,150.00","5,180.00","5,191.00","5,150.00","74.05K","-1.28%"
"Aug 19, 2020","5,216.90","5,274.90","5,274.90","5,149.90","234.33K","-1.10%"
"Aug 18, 2020","5,275.00","5,260.60","5,340.00","5,200.00","280.07K","-1.29%"
"Aug 17, 2020","5,344.00","5,279.00","5,349.90","5,270.00","252.64K","1.60%"
"Aug 14, 2020","5,260.00","5,280.00","5,280.00","5,170.10","121.81K","-0.38%"
"Aug 13, 2020","5,280.00","5,299.00","5,340.00","5,225.00","179.83K","-0.34%"
"Aug 12, 2020","5,298.00","5,336.00","5,336.00","5,216.20","357.50K","0.34%"
"Aug 11, 2020","5,280.00","5,326.00","5,326.00","5,201.00","235.50K","-0.38%"
"Aug 10, 2020","5,300.00","5,380.00","5,380.00","5,200.20","250.01K","-0.38%"
"Aug 07, 2020","5,320.00","5,319.00","5,400.00","5,319.00","176.38K","0.00%"
"Aug 06, 2020","5,320.00","5,310.00","5,320.00","5,200.00","174.38K","0.23%"
"Aug 05, 2020","5,308.00","5,349.90","5,430.00","5,300.00","245.22K","1.10%"
"Aug 04, 2020","5,250.00","5,250.00","5,387.00","5,201.00","234.53K","2.92%"
"Aug 03, 2020","5,101.00","5,400.00","5,400.00","5,101.00","121.74K","-5.51%"
"Jul 31, 2020","5,398.20","5,540.00","5,540.00","5,396.60","179.25K","-0.57%"
"Jul 30, 2020","5,429.00","5,400.00","5,449.90","5,300.00","167.88K","0.54%"
"Jul 29, 2020","5,400.00","5,570.00","5,570.00","5,360.00","172.09K","-3.22%"
"Jul 28, 2020","5,579.80","5,620.00","5,720.00","5,451.50","372.98K","0.43%"
"Jul 27, 2020","5,555.80","5,496.00","5,598.00","5,401.00","284.45K","1.20%"
"Jul 24, 2020","5,490.00","5,300.00","5,680.00","5,300.00","139.31K","2.23%"
