"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 20, 2020","4,026.59","4,028.30","4,043.72","4,024.86","-","-0.04%"
"Nov 19, 2020","4,028.30","4,109.89","4,110.32","4,018.53","-","-1.96%"
"Nov 18, 2020","4,108.79","4,053.50","4,109.19","4,053.50","-","1.36%"
"Nov 17, 2020","4,053.50","4,047.42","4,054.93","3,993.50","-","0.15%"
"Nov 16, 2020","4,047.42","4,005.35","4,097.03","4,005.35","-","1.05%"
"Nov 13, 2020","4,005.35","3,916.50","4,007.43","3,916.50","-","2.27%"
"Nov 12, 2020","3,916.50","3,979.34","3,981.86","3,916.50","-","-1.58%"
"Nov 11, 2020","3,979.34","3,977.45","4,010.47","3,948.65","-","0.05%"
"Nov 10, 2020","3,977.45","3,928.48","3,978.10","3,887.19","-","1.25%"
"Nov 09, 2020","3,928.48","3,812.38","3,951.95","3,812.38","-","3.05%"
"Nov 06, 2020","3,812.38","3,703.94","3,812.79","3,686.68","-","2.93%"
"Nov 05, 2020","3,703.94","3,518.05","3,705.51","3,518.05","-","5.28%"
"Nov 04, 2020","3,518.05","3,521.45","3,554.87","3,489.65","-","-0.10%"
"Nov 03, 2020","3,521.45","3,571.13","3,601.44","3,506.29","-","-1.39%"
"Nov 02, 2020","3,571.13","3,539.92","3,606.53","3,539.92","-","0.88%"
"Oct 30, 2020","3,539.92","3,582.64","3,598.52","3,530.26","-","-1.19%"
"Oct 29, 2020","3,582.64","3,629.48","3,636.44","3,574.45","-","-1.29%"
"Oct 28, 2020","3,629.48","3,697.00","3,697.91","3,611.73","-","-1.83%"
"Oct 27, 2020","3,697.00","3,705.99","3,751.63","3,675.47","-","-0.24%"
"Oct 26, 2020","3,705.99","3,807.95","3,808.43","3,701.14","-","-2.68%"
"Oct 23, 2020","3,807.95","3,811.29","3,831.40","3,799.49","-","-0.09%"
"Oct 22, 2020","3,811.29","3,782.66","3,817.12","3,758.84","-","0.76%"
"Oct 21, 2020","3,782.66","3,672.92","3,782.95","3,670.15","-","2.99%"
"Oct 20, 2020","3,672.92","3,631.80","3,678.99","3,631.80","-","1.13%"
"Oct 19, 2020","3,631.80","3,640.58","3,677.22","3,631.38","-","-0.24%"
"Oct 16, 2020","3,640.58","3,661.72","3,674.64","3,628.76","-","-0.58%"
"Oct 15, 2020","3,661.72","3,664.40","3,690.63","3,619.65","-","-0.07%"
"Oct 14, 2020","3,664.40","3,654.69","3,666.27","3,640.43","-","0.27%"
"Oct 13, 2020","3,654.69","3,677.45","3,690.67","3,636.54","-","-0.62%"
"Oct 09, 2020","3,677.45","3,650.27","3,692.33","3,635.59","-","0.74%"
"Oct 08, 2020","3,650.27","3,588.35","3,650.35","3,588.35","-","1.73%"
"Oct 07, 2020","3,588.35","3,621.71","3,629.38","3,580.64","-","-0.92%"
"Oct 06, 2020","3,621.71","3,675.83","3,682.93","3,612.85","-","-1.47%"
"Oct 05, 2020","3,675.83","3,666.03","3,698.75","3,663.46","-","0.27%"
"Oct 02, 2020","3,666.03","3,635.47","3,674.00","3,591.29","-","0.84%"
"Oct 01, 2020","3,635.47","3,637.30","3,660.67","3,618.86","-","-0.05%"
"Sep 30, 2020","3,637.30","3,555.32","3,637.30","3,555.32","-","2.31%"
"Sep 29, 2020","3,555.32","3,595.39","3,595.40","3,539.67","-","-1.11%"
"Sep 28, 2020","3,595.39","3,589.04","3,632.14","3,589.04","-","0.18%"
"Sep 25, 2020","3,589.04","3,571.42","3,589.04","3,563.08","-","0.49%"
"Sep 24, 2020","3,571.42","3,520.45","3,592.59","3,520.45","-","1.45%"
"Sep 23, 2020","3,520.45","3,634.63","3,634.87","3,512.53","-","-3.14%"
"Sep 22, 2020","3,634.63","3,643.85","3,678.01","3,634.63","-","-0.25%"
"Sep 21, 2020","3,643.85","3,729.64","3,729.64","3,640.63","-","-2.30%"
"Sep 17, 2020","3,729.64","3,717.06","3,729.64","3,678.60","-","0.34%"
"Sep 16, 2020","3,717.06","3,721.71","3,723.14","3,696.64","-","-0.12%"
"Sep 15, 2020","3,721.71","3,709.84","3,735.93","3,709.84","-","0.32%"
"Sep 14, 2020","3,709.84","3,712.67","3,748.36","3,708.25","-","-0.08%"
"Sep 11, 2020","3,712.67","3,687.17","3,715.52","3,657.85","-","0.69%"
"Sep 10, 2020","3,687.17","3,771.72","3,782.86","3,673.07","-","-2.24%"
"Sep 09, 2020","3,771.72","3,826.07","3,837.57","3,771.72","-","-1.42%"
"Sep 08, 2020","3,826.07","3,854.21","3,854.21","3,814.18","-","-0.73%"
"Sep 07, 2020","3,854.21","3,810.61","3,856.48","3,810.61","-","1.14%"
"Sep 04, 2020","3,810.61","3,845.87","3,858.64","3,794.63","-","-0.92%"
"Sep 03, 2020","3,845.87","3,814.95","3,845.90","3,795.08","-","0.81%"
"Sep 02, 2020","3,814.95","3,752.95","3,828.91","3,752.95","-","1.65%"
"Sep 01, 2020","3,752.95","3,767.15","3,790.75","3,737.54","-","-0.38%"
"Aug 31, 2020","3,767.15","3,873.77","3,886.24","3,767.15","-","-2.75%"
"Aug 28, 2020","3,873.77","3,887.80","3,921.54","3,868.09","-","-0.36%"
"Aug 27, 2020","3,887.80","3,861.65","3,887.80","3,849.75","-","0.68%"
"Aug 26, 2020","3,861.65","3,897.73","3,907.75","3,855.61","-","-0.93%"
"Aug 25, 2020","3,897.73","3,962.37","3,973.03","3,885.75","-","-1.63%"
"Aug 24, 2020","3,962.37","3,994.71","4,012.08","3,956.64","-","-0.81%"
"Aug 21, 2020","3,994.71","3,977.97","3,994.87","3,967.79","-","0.42%"
"Aug 20, 2020","3,977.97","3,998.80","3,998.80","3,967.14","-","-0.52%"
"Aug 19, 2020","3,998.80","4,023.76","4,028.19","3,986.51","-","-0.62%"
"Aug 18, 2020","4,023.76","4,041.02","4,051.68","4,004.07","-","-0.43%"
"Aug 17, 2020","4,041.02","4,017.11","4,044.74","4,017.11","-","0.60%"
"Aug 14, 2020","4,017.11","4,004.99","4,027.40","4,004.99","-","0.30%"
"Aug 13, 2020","4,004.99","4,036.54","4,079.03","3,993.01","-","-0.78%"
"Aug 12, 2020","4,036.54","4,000.25","4,044.89","4,000.25","-","0.91%"
"Aug 11, 2020","4,000.25","3,984.09","4,026.26","3,984.09","-","0.41%"
"Aug 10, 2020","3,984.09","3,988.90","4,026.54","3,983.86","-","-0.12%"
"Aug 07, 2020","3,988.90","3,968.74","4,003.18","3,968.74","-","0.51%"
"Aug 06, 2020","3,968.74","3,932.35","3,969.51","3,917.71","-","0.93%"
"Aug 05, 2020","3,932.35","3,926.25","3,979.06","3,926.25","-","0.16%"
"Aug 04, 2020","3,926.25","3,946.52","4,008.35","3,925.87","-","-0.51%"
"Aug 03, 2020","3,946.52","4,017.08","4,017.08","3,946.52","-","-1.76%"
"Jul 31, 2020","4,017.08","3,953.30","4,017.08","3,953.30","-","1.61%"
"Jul 30, 2020","3,953.30","3,983.25","3,983.25","3,919.24","-","-0.75%"
"Jul 29, 2020","3,983.25","4,055.59","4,055.59","3,969.25","-","-1.78%"
"Jul 28, 2020","4,055.59","4,062.65","4,086.88","4,055.18","-","-0.17%"
"Jul 27, 2020","4,062.65","4,014.88","4,071.46","4,014.88","-","1.19%"
"Jul 24, 2020","4,014.88","3,984.28","4,029.43","3,956.48","-","0.77%"
"Jul 23, 2020","3,984.28","3,944.82","4,026.37","3,940.04","-","1.00%"
"Jul 22, 2020","3,944.82","3,887.28","3,966.92","3,865.31","-","1.48%"
"Jul 21, 2020","3,887.28","3,924.61","3,938.53","3,882.87","-","-0.95%"
"Jul 20, 2020","3,924.61","3,994.73","3,994.73","3,891.36","-","-1.76%"
"Jul 17, 2020","3,994.73","4,041.62","4,047.76","3,968.61","-","-1.16%"
"Jul 15, 2020","4,041.62","4,180.91","4,206.05","4,041.62","-","-3.33%"
"Jul 14, 2020","4,180.91","4,115.28","4,181.06","4,081.60","-","1.59%"
"Jul 13, 2020","4,115.28","4,029.40","4,142.33","4,029.40","-","2.13%"
"Jul 10, 2020","4,029.40","4,032.15","4,043.42","3,999.82","-","-0.07%"
"Jul 09, 2020","4,032.15","4,185.91","4,185.91","4,008.10","-","-3.67%"
"Jul 08, 2020","4,185.91","4,257.67","4,259.50","4,135.14","-","-1.69%"
"Jul 07, 2020","4,257.67","4,284.42","4,284.42","4,214.24","-","-0.62%"
"Jul 06, 2020","4,284.42","4,202.17","4,310.22","4,202.17","-","1.96%"
"Jul 03, 2020","4,202.17","4,177.89","4,224.38","4,172.17","-","0.58%"
"Jul 02, 2020","4,177.89","4,037.07","4,179.43","4,037.07","-","3.49%"
"Jul 01, 2020","4,037.07","3,959.02","4,046.39","3,959.02","-","1.97%"
"Jun 30, 2020","3,959.02","3,990.95","4,009.83","3,959.02","-","-0.80%"
"Jun 26, 2020","3,990.95","4,038.31","4,046.14","3,990.59","-","-1.17%"
"Jun 25, 2020","4,038.31","4,036.23","4,050.91","4,005.23","-","0.05%"
"Jun 24, 2020","4,036.23","4,031.73","4,046.84","4,001.36","-","0.11%"
"Jun 23, 2020","4,031.73","3,998.52","4,031.73","3,974.34","-","0.83%"
"Jun 22, 2020","3,998.52","4,026.79","4,042.47","3,975.62","-","-0.70%"
"Jun 19, 2020","4,026.79","3,990.77","4,039.73","3,990.77","-","0.90%"
"Jun 18, 2020","3,990.77","3,996.60","4,006.24","3,974.02","-","-0.15%"
"Jun 17, 2020","3,996.60","3,939.79","4,024.38","3,939.79","-","1.44%"
"Jun 16, 2020","3,939.79","3,893.13","3,981.46","3,893.13","-","1.20%"
"Jun 15, 2020","3,893.13","3,981.84","3,981.84","3,888.23","-","-2.23%"
"Jun 12, 2020","3,981.84","3,944.23","4,019.20","3,944.23","-","0.95%"
"Jun 11, 2020","3,944.23","4,063.89","4,063.89","3,926.82","-","-2.94%"
"Jun 10, 2020","4,063.89","4,126.17","4,145.92","4,062.53","-","-1.51%"
"Jun 09, 2020","4,126.17","4,139.89","4,148.38","4,043.29","-","-0.33%"
"Jun 08, 2020","4,139.89","4,033.42","4,149.02","4,033.42","-","2.64%"
"Jun 05, 2020","4,033.42","3,885.41","4,055.09","3,885.41","-","3.81%"
"Jun 04, 2020","3,885.41","3,833.47","3,885.41","3,793.76","-","1.35%"
