ROL;NOMBRE;DIRECCI”N;GIRO;TIO PAPENTE
2801;CASTRO TERAN ALEJANDRA ANDREA;RIO PLATA 195;SERVICIOS DE BANQUETES, BODAS Y OTRAS CELEBRACIONES;COMERCIALES
20001;ACU—A OLIVARES JUAN PABLO;SECTOR PALGUIN 223;PELUQUERIA (MEF);COMERCIALES
20002;MOLINA GODOY MARLENE RUTH;LOS HUALLES 1510;PASTELERIA MEF;COMERCIALES
20006;BANCO ESTADO DE CHILE;AVDA. BERNARDO OHIGGINS 240;BANCO;COMERCIALES
20008;BARRA FIGUEROA CARLOS;AV. B. OHIGGINS 480 - D†;SERVICIOS TURISTICOS RAFTING MONTA—A;COMERCIALES
20009;C.G.E. DISTRIBUCION S.A.;AVDA. BERNARDO OHIGGINS 669 LOCAL 101;VENTA DE ENERGIA ELECTRICA;COMERCIALES
20010;VALLVERDU† ESPINOZA JAIME LUIS;FRESIA 273;JOYERIA Y ARTESANIA;COMERCIALES
20018;MU—OZ TRONCOZO SONIA DEL CARMEN;LINCOYAN† 485;HOSPEDAJE;COMERCIALES
20020;VIEJO† ALMACEN LIMITADA;FRESIA 375;GRANDES TIENDAS;COMERCIALES
20021;SUPERMERCADOS ELTIT LIMITADA;AVDA. BERNARDO OHIGGINS 336;SUPERMERCADO;COMERCIALES
20023;FLORES PINILLA JORGE ANTONIO;PALGUIN 575-C;PROVISIONES;COMERCIALES
20026;FRYDERUP SALWSKY GERMAN;LUGAR COILACO ALTO S/N;ALMACEN DE COMESTIBLES;COMERCIALES
20028;KUDEN SOCIEDAD ANONIMA;CLEMENTE HOLZAPFEL† 190;HOTEL;COMERCIALES
20031;ZUNILDA BADILLA HERRERA;PEDRO DE VALDIVIA 12;HOTEL;COMERCIALES
20034;HERNADEZ ULLOA HERNAN;PERU† S/N;TALLER OBRERO;COMERCIALES
20036;LAFQUEN GONZALEZ GLADYS;MIGUEL ANSORENA† 285;SUPERMERCADO;COMERCIALES
20037;HOTELERA PLAZA PUCON LIMITADA;PEDRO DE VALDIVIA 191;HOTEL;COMERCIALES
